id;Compartiment;Parcelle;Ilot;id-?lot;Surface;Date d'obs;Etendue [h;Etendue [m;Habitat Ni;Recouvreme;Stade de d;Structure;Associatio;Essence 1;Annee_1;Essence 2;Annee_2;Essence 3;Annee_3;Autres  +;Petit Bois;Bois moyen;Gros bois_;Surface te;Petits boi;Bois moy_2;Gros boi_1;Surface _1;Petits b_1;Bois moy_3;Gros boi_2;Surface _2;Surface _3;Qualit€?ô÷;Remarque;Provenance;WKT
141;1;A;1;A1;;juil-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieille futaie de h€Œôùô®tre;;MULTIPOLYGON (((167075.551458335 152213.184446333,167138.394448263 152216.89930288,167145.824161358 152220.614159428,167147.372018253 152243.52244147,167172.756871328 152242.284155955,167187.925868897 152251.571297323,167191.640725444 152259.001010419,167221.359577824 152261.78715283,167252.935858478 152228.353443902,167213.929864729 152191.824021185,167160.06444479 152151.270170541,167159.301666729 152161.298872743,167168.881175353 152205.059809864,167131.37957625 152196.568881769,167122.997506203 152190.25511472,167074.936676003 152189.710824457,167060.676271119 152192.649991876,167042.03432962 152195.589159295,167039.966026621 152183.397057408,167030.713092155 152181.111038305,167023.746176791 152179.58702557,167024.943615369 152172.620110207,167009.921204118 152176.756716204,166990.217896606 152175.34156152,166968.337428044 152171.640387735,166938.836895803 152173.273258521,166919.200921543 152172.349075726,166906.237078068 152184.388925103,166916.629853083 152183.614773515,166947.763256112 152188.622243932,166963.329957626 152189.710824456,166981.944684612 152197.330888136,166990.762186869 152197.548604241,166995.007650918 152204.733235709,166993.37478013 152216.381047332,166985.066833726 152228.613578392,167004.576797383 152236.246982047,167005.482879852 152264.804201918,166989.689014778 152256.287902123,166975.908093291 152276.417338001,167015.85728142 152306.456650005,167006.141067871 152353.753521407,167004.089303522 152380.471037313,167003.908175909 152388.149988621,167024.288775838 152395.368832952,167024.007823738 152362.552636681,167101.400668478 152404.344772838,167147.526803943 152420.132913166,167138.634902596 152435.386977868,167143.914595776 152437.125276472,167151.613935576 152442.473982451,167165.851245914 152448.035344636,167197.816461759 152449.684563458,167253.288011305 152470.893589911,167238.99594689 152515.906719695,167264.561759474 152525.736381351,167278.258468046 152499.72182472,167263.538678207 152493.888294202,167261.062107176 152460.918942345,167252.858465633 152447.452587361,167244.654824091 152441.415945471,167234.748539964 152429.807018758,167241.713895991 152400.862094826,167264.003035276 152408.756164989,167272.051891129 152386.467025705,167255.102858131 152376.947705803,167234.052004361 152363.016993748,167223.526577477 152335.774712401,167182.353584075 152335.155569643,167129.107306895 152311.937716221,167095.983169346 152327.416285168,167062.111175731 152287.685352118,167038.712464239 152260.239295934,167075.241886956 152229.591729417,167075.551458335 152213.184446333)))
140;1;A;2;A2;;juil-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vieille futaie de h€Œôùô®tre;;MULTIPOLYGON (((166919.200921543 152172.349075726,166938.836895803 152173.273258521,166968.337428044 152171.640387735,166990.217896606 152175.34156152,167009.921204118 152176.756716204,167024.943615369 152172.620110207,167023.746176791 152179.58702557,167030.713092155 152181.111038305,167039.966026621 152183.397057408,167042.03432962 152195.589159295,167060.676271119 152192.649991876,167074.936676003 152189.710824457,167122.997506203 152190.25511472,167131.37957625 152196.568881769,167168.881175353 152205.059809864,167159.301666729 152161.298872743,167160.06444479 152151.270170541,167156.040016871 152148.79359723,167025.898929294 152062.708052919,167013.459090826 152078.525931034,167016.942548507 152081.573956506,166919.200921543 152172.349075726)))
14;1;A;3;A3;3102.87;juil-18;0.31;3102.87;G4;30%;FJ;FR;4;MR 40 %;1980;ES 40 %;1980;EP 20 %;1954;"Peuplier baupr€Œôùô® (1980)
FR";27;55;18;23;;;;0;;;;0;23;M;"Merisier et erable plant€Œôùô® sur ancienne pessi€Œôùô®re 
 Peuplier baupr€Œôùô® de 180 cm de circonf€Œôùô®rence = Danger pour le golf
Fr€Œôùô®ne mang€Œôùô® par la h€Œôùô®traie 
Qualit€Œôùô® par essence : MR = U  ES = M  EP = B";;MULTIPOLYGON (((167138.634902596 152435.386977866,167147.526803943 152420.132913166,167101.400668478 152404.344772838,167024.007823738 152362.552636681,167024.288775838 152395.368832955,167114.386639885 152426.891963987,167138.634902596 152435.386977866)))
15;1;B;1;B1;16112.26;juil-18;1.61;16112.26;G4;30%;FVR;FIB;4;EP 25%;1954;HE 15 %;1884;HE 50%;1990-1998-2002;CR 10 %;0;0;100;4;0;100;0;2;100;;;7;13;B;"Intervention urgente dans les jeunes peuplements 
Qualit€Œôùô® par essence: EP = S HE = S  HE (jeune) = U CR = B";;MULTIPOLYGON (((167332.727881404 152329.196320598,167313.611848754 152304.508003124,167312.063991859 152300.17400382,167252.935858478 152228.353443902,167221.359577824 152261.78715283,167191.640725444 152259.001010419,167187.925868897 152251.571297323,167172.756871328 152242.284155955,167147.372018253 152243.52244147,167132.512592063 152275.098722124,167153.563445832 152288.410291419,167152.944303074 152292.125147967,167129.107306895 152311.937716221,167182.353584075 152335.155569643,167223.526577477 152335.774712401,167234.052004361 152363.016993748,167255.102858131 152376.947705803,167272.051891129 152386.467025705,167275.457176297 152364.487457799,167304.866457298 152338.793033346,167332.727881404 152329.196320598)))
16;1;B;2;B2;5505.98;juil-18;0.55;5505.98;G1;30%;P;FR;1;CS 20%;1977;BV 60 %;;CR 15%;1977;PS 5%;;;;0;;;;0;;;;0;;B;"Zone barbecue, l'aire devient tr€Œôùô®s exig€Œôùô®e car colonis€Œôùô®e par bouleau et pin sylvestre
Autrefois pelouse €Œôùô® bruy€Œôùô®re, penser €Œôùô® r€Œôùô®am€Œôùô®nager le barbecue. Semis de 1977";;MULTIPOLYGON (((167132.512592063 152275.098722124,167104.651167957 152251.571297323,167075.241886956 152229.591729417,167038.712464239 152260.239295934,167062.111175731 152287.685352118,167095.983169346 152327.416285168,167129.107306895 152311.937716221,167152.944303074 152292.125147967,167153.563445832 152288.410291419,167132.512592063 152275.098722124)))
17;1;B;3;B3;2698.51;juil-18;0.27;2698.51;G1;10%;P;FR;1;CR 100%;1977;;;;;;100;0;0;10.5;;;;0;;;;0;10.5;B;D€Œôùô®sgination des plus gros arbres €Œôùô® faire.;;MULTIPOLYGON (((167075.241886956 152229.591729417,167104.651167957 152251.571297323,167132.512592063 152275.098722124,167147.372018253 152243.52244147,167145.824161358 152220.614159428,167138.394448263 152216.89930288,167075.551458335 152213.184446333,167075.241886956 152229.591729417)))
11;1;B;4;B4;5635.26;juil-18;0.56;5635.26;G1;70%;P;FR;2;HE 40 %;1976;ES 40 %;1982;CR 20 %;1985;;86;14;0;16;;;;0;;;;0;16;S;C€Œôùô®me €Œôùô®triqu€Œôùô®e;Origine ind€Œôùô®termin€Œôùô®e;MULTIPOLYGON (((167355.915049287 152355.319335881,167332.727881404 152329.196320598,167304.866457298 152338.793033346,167275.457176297 152364.487457799,167272.051891129 152386.467025705,167264.003035276 152408.756164989,167309.764521545 152441.789290839,167355.915049287 152355.319335881)))
12;1;B;5;B5;2710.41;juil-18;0.27;2710.41;G1;20%;P;FR;1;CR 100%;1996;;;;;;100;0;0;10.5;;;;0;;;;0;10.5;B;Semis naturel de ch€Œôùô®ne rouge issu de quelques vieux arbres de bonnes venues.;CR originaire d'un semis naturel;MULTIPOLYGON (((167264.003035276 152408.756164989,167262.76474976 152417.4241636,167268.956177339 152431.200089963,167252.858465633 152447.452587361,167261.062107176 152460.918942345,167263.538678207 152493.888294202,167278.258468046 152499.72182472,167303.494652876 152453.910751995,167309.764521545 152441.789290839,167264.003035276 152408.756164989)))
13;1;B;6;B6;1002.04;juil-18;0.1;1002.04;G1;50%;P;FR;1;ES 100 %;1981;;;;;;67;33;0;10;;;;0;;;;0;10;S;Semis de 1981;Semis;MULTIPOLYGON (((167252.858465633 152447.452587361,167268.956177339 152431.200089963,167262.76474976 152417.4241636,167264.003035276 152408.756164989,167241.713895991 152400.862094826,167234.748539964 152429.807018758,167244.654824091 152441.415945471,167252.858465633 152447.452587361)))
55;1;C;1;C1;8355.98;juil-18;0.84;8355.98;G1;10%;FVR;FR;1;HE 100%;1864;;;;;Erable et rhododendron;0;18;82;31;;;;0;;;;0;31;S;Vieille h€Œôùô®traie en voie d'irr€Œôùô®gularisation. Semis d'€Œôùô®rable. G€Œôùô®n€Œôùô®e par le rhododendron;;MULTIPOLYGON (((166875.106072083 152249.474862287,166911.958423923 152268.520405464,166923.107034563 152278.430281589,166945.404255844 152305.217915489,167004.089303522 152380.471037313,167006.141067871 152353.753521407,167015.85728142 152306.456650005,166975.908093291 152276.417338001,166989.689014778 152256.287902123,167005.482879852 152264.804201918,167004.576797383 152236.246982047,166978.230720508 152225.938906492,166954.230239268 152233.061629955,166946.333306731 152255.358851236,166936.733114235 152268.520405464,166933.171752503 152256.442743937,166919.85535646 152241.732771564,166882.073953733 152224.080804717,166875.106072083 152249.474862287)))
